[2016/3/25 - 20:20:09] Battle_Luan (ID: 2 | SQL ID: 7 | Level: 1 | IP: 115.79.36.137) has disconnected.
[2016/3/25 - 20:20:38] Battle_Luan (ID: 2 | SQL ID: 7 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 20:21:03] Yuuki_Asuna (ID: 6 | SQL ID: 5 | Level: 1 | IP: 27.2.127.240) has disconnected.
[2016/3/25 - 20:22:08] Yuuki_Asuna (ID: 6 | SQL ID: 5 | Level: 1 | IP: 27.2.127.240) has logged in.
[2016/3/25 - 20:24:12] An_LaTao (ID: 4 | SQL ID: 3922 | Level: 1 | IP: 115.78.119.216) has disconnected.
[2016/3/25 - 20:24:22] Faker_Wilson (ID: 9 | SQL ID: 3928 | Level: 1 | IP: 14.169.194.181) has disconnected.
[2016/3/25 - 20:24:31] Hoang_Thien (ID: 4 | SQL ID: 3930 | Level: 1 | IP: 27.2.38.38) has logged in.
[2016/3/25 - 20:32:40] Suu_Nhi (ID: 7 | SQL ID: 3931 | Level: 1 | IP: 1.53.226.147) has logged in.
[2016/3/25 - 20:34:03] Suu_Nhi (ID: 7 | SQL ID: 3931 | Level: 1 | IP: 1.53.226.147) has disconnected.
[2016/3/25 - 20:40:21] Hoang_Thien (ID: 4 | SQL ID: 3930 | Level: 1 | IP: 27.2.38.38) has disconnected.
[2016/3/25 - 20:40:55] Hoang_Thien (ID: 4 | SQL ID: 3930 | Level: 1 | IP: 27.2.38.38) has logged in.
[2016/3/25 - 20:42:49] Battle_Luan (ID: 2 | SQL ID: 7 | Level: 1 | IP: 115.79.36.137) has timed out.
[2016/3/25 - 20:44:02] Battle_Minh (ID: 3 | SQL ID: 3918 | Level: 1 | IP: 115.79.36.137) has disconnected.
[2016/3/25 - 20:44:32] Battle_Minh (ID: 2 | SQL ID: 3918 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 20:46:50] Battle_Binz (ID: 1 | SQL ID: 6 | Level: 1 | IP: 115.79.36.137) has disconnected.
[2016/3/25 - 20:48:56] Hoang_Thien (ID: 4 | SQL ID: 3930 | Level: 1 | IP: 27.2.38.38) has disconnected.
[2016/3/25 - 20:52:27] Jamer_LAster (ID: 1 | SQL ID: 3932 | Level: 1 | IP: 116.100.211.99) has logged in.
[2016/3/25 - 20:54:18] Jamer_LasKun (ID: 3 | SQL ID: 3933 | Level: 1 | IP: 115.78.115.222) has logged in.
[2016/3/25 - 20:55:36] Jamer_LasBiu (ID: 4 | SQL ID: 3934 | Level: 1 | IP: 115.78.115.222) has logged in.
[2016/3/25 - 20:56:48] Jamer_LasKun (ID: 3 | SQL ID: 3933 | Level: 1 | IP: 115.78.115.222) has disconnected.
[2016/3/25 - 20:56:49] Battle_Minh (ID: 2 | SQL ID: 3918 | Level: 1 | IP: 115.79.36.137) has disconnected.
[2016/3/25 - 20:57:35] Jamer_LasBiu (ID: 4 | SQL ID: 3934 | Level: 1 | IP: 115.78.115.222) has disconnected.
[2016/3/25 - 20:57:55] Jamer_LasKun (ID: 2 | SQL ID: 3933 | Level: 1 | IP: 115.78.115.222) has logged in.
[2016/3/25 - 21:07:13] Jamer_LasKun (ID: 2 | SQL ID: 3933 | Level: 1 | IP: 115.78.115.222) has timed out.
[2016/3/25 - 21:08:50] Dimitri_vegas (ID: 5 | SQL ID: 3923 | Level: 3 | IP: 115.78.115.222) has timed out.
[2016/3/25 - 21:09:11] Dimitri_vegas (ID: 2 | SQL ID: 3923 | Level: 3 | IP: 115.78.115.222) has logged in.
[2016/3/25 - 21:18:59] ThinH_NguyeN (ID: 3 | SQL ID: 3935 | Level: 1 | IP: 14.175.143.108) has logged in.
[2016/3/25 - 21:20:15] Nguyen_ThanhDat (ID: 4 | SQL ID: 0 | Level: 1 | IP: 117.2.0.250) has logged in.
[2016/3/25 - 21:24:21] James_Jimmy (ID: 5 | SQL ID: 3936 | Level: 1 | IP: 113.174.74.121) has logged in.
[2016/3/25 - 21:28:46] James_Jimmy (ID: 5 | SQL ID: 3936 | Level: 1 | IP: 113.174.74.121) has disconnected.
[2016/3/25 - 21:33:25] Jamer_LAster (ID: 1 | SQL ID: 3932 | Level: 1 | IP: 116.100.211.99) has disconnected.
[2016/3/25 - 21:33:50] Nguyen_ThanhDat (ID: 4 | SQL ID: 0 | Level: 1 | IP: 117.2.0.250) has disconnected.
[2016/3/25 - 21:36:23] Nguyen_ThanhDat (ID: 1 | SQL ID: 0 | Level: 1 | IP: 117.2.0.250) has logged in.
[2016/3/25 - 21:38:58] Chau_Huy (ID: 4 | SQL ID: 3937 | Level: 1 | IP: 116.100.211.99) has logged in.
[2016/3/25 - 21:49:46] Akat_Suki (ID: 3 | SQL ID: 3935 | Level: 1 | IP: 14.175.143.108) has disconnected.
[2016/3/25 - 21:50:58] Ken_Gayz (ID: 3 | SQL ID: 3938 | Level: 1 | IP: 113.169.244.41) has logged in.
[2016/3/25 - 22:02:31] Dimitri_vegas (ID: 2 | SQL ID: 3923 | Level: 3 | IP: 115.78.115.222) has disconnected.
[2016/3/25 - 22:07:39] Bin_LaTao (ID: 0 | SQL ID: 8 | Level: 2 | IP: 1.52.141.250) has disconnected.
[2016/3/25 - 22:08:29] Bin_LaTao (ID: 0 | SQL ID: 8 | Level: 2 | IP: 1.52.141.250) has logged in.
[2016/3/25 - 22:12:25] Bin_LaTao (ID: 0 | SQL ID: 8 | Level: 2 | IP: 1.52.141.250) has disconnected.
[2016/3/25 - 22:27:45] Chau_Huy (ID: 4 | SQL ID: 3937 | Level: 1 | IP: 116.100.211.99) has disconnected.
[2016/3/25 - 22:27:47] Ken_Gayz (ID: 3 | SQL ID: 3938 | Level: 1 | IP: 113.169.244.41) has disconnected.
[2016/3/25 - 22:28:00] Yuuki_Asuna (ID: 6 | SQL ID: 5 | Level: 1 | IP: 27.2.127.240) has disconnected.
[2016/3/25 - 22:28:16] Nguyen_ThanhDat (ID: 1 | SQL ID: 0 | Level: 1 | IP: 117.2.0.250) has disconnected.
[2016/3/26 - 1:44:43] wis_nhi (ID: 0 | SQL ID: 3939 | Level: 1 | IP: 115.79.43.229) has logged in.
[2016/3/26 - 1:54:24] man_cho (ID: 1 | SQL ID: 3940 | Level: 1 | IP: 115.79.43.229) has logged in.
[2016/3/26 - 2:00:35] wis_nhi (ID: 0 | SQL ID: 3939 | Level: 1 | IP: 115.79.43.229) has disconnected.
[2016/3/26 - 2:02:46] man_cho (ID: 1 | SQL ID: 3940 | Level: 1 | IP: 115.79.43.229) has disconnected.
[2016/3/26 - 6:49:46] Ken_Gayz (ID: 0 | SQL ID: 3938 | Level: 1 | IP: 113.169.244.41) has logged in.
[2016/3/26 - 7:04:32] Ken_Gayz (ID: 0 | SQL ID: 3938 | Level: 1 | IP: 113.169.244.41) has disconnected.
[2016/3/26 - 7:22:19] Ken_Gayz (ID: 0 | SQL ID: 3938 | Level: 1 | IP: 113.169.244.41) has logged in.
[2016/3/26 - 7:26:18] Battle_Minh (ID: 1 | SQL ID: 3918 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/26 - 7:46:40] Ken_Gayz (ID: 0 | SQL ID: 3938 | Level: 1 | IP: 113.169.244.41) has disconnected.
[2016/3/26 - 7:49:40] Battle_Minh (ID: 1 | SQL ID: 3918 | Level: 1 | IP: 115.79.36.137) has disconnected.
[2016/3/26 - 8:05:51] Ken_Gayz (ID: 0 | SQL ID: 3938 | Level: 1 | IP: 113.169.244.41) has logged in.
[2016/3/26 - 8:41:54] Mario_AlexBocat (ID: 1 | SQL ID: 3941 | Level: 1 | IP: 113.163.100.113) has logged in.
[2016/3/26 - 8:43:09] Mario_AlexBocat (ID: 1 | SQL ID: 3941 | Level: 1 | IP: 113.163.100.113) has disconnected.
[2016/3/26 - 8:45:44] Chau_Huy (ID: 1 | SQL ID: 3937 | Level: 1 | IP: 113.163.127.154) has logged in.
[2016/3/26 - 8:46:28] Alce_Khaq (ID: 2 | SQL ID: 3942 | Level: 1 | IP: 115.78.114.227) has logged in.
[2016/3/26 - 8:47:36] Jamer_LasKun (ID: 3 | SQL ID: 3933 | Level: 1 | IP: 115.78.124.205) has logged in.
